release_date,title,url,date_retrieved
22/01/2024,"Distributions of household economic accounts for income, consumption, saving and wealth of Canadian households, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240122/dq240122a-eng.htm,22/01/2024
22/01/2024,The continued impacts of the COVID-19 pandemic: Variations in the economic integration of new immigrants,https://www150.statcan.gc.ca/daily-quotidien/240122/dq240122b-eng.htm,22/01/2024
22/01/2024,"Urban public transit, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240122/dq240122c-eng.htm,22/01/2024
22/01/2024,"Performing arts, 2022",https://www150.statcan.gc.ca/daily-quotidien/240122/dq240122d-eng.htm,22/01/2024
22/01/2024,"Monthly Mineral Production Survey, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240122/dq240122e-eng.htm,22/01/2024
19/01/2024,"Retail trade, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240119/dq240119a-eng.htm,22/01/2024
19/01/2024,"Employment Insurance, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240119/dq240119b-eng.htm,22/01/2024
19/01/2024,"Monthly credit aggregates, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240119/dq240119c-eng.htm,22/01/2024
19/01/2024,"Commercial and Industrial Machinery and Equipment Rental and Leasing Services Price Index, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240119/dq240119d-eng.htm,22/01/2024
19/01/2024,"Monthly Energy Transportation and Storage Survey, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240119/dq240119e-eng.htm,22/01/2024
19/01/2024,"Real-time local business conditions, January 8 to 14, 2024",https://www150.statcan.gc.ca/daily-quotidien/240119/dq240119f-eng.htm,22/01/2024
18/01/2024,"Investment in building construction, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240118/dq240118a-eng.htm,22/01/2024
18/01/2024,"Natural resource indicators, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240118/dq240118b-eng.htm,22/01/2024
18/01/2024,Working from home in Canada,https://www150.statcan.gc.ca/daily-quotidien/240118/dq240118c-eng.htm,22/01/2024
18/01/2024,"Accommodation services, 2022",https://www150.statcan.gc.ca/daily-quotidien/240118/dq240118d-eng.htm,22/01/2024
18/01/2024,"Provisional death counts, January 2021 to October 2023",https://www150.statcan.gc.ca/daily-quotidien/240118/dq240118e-eng.htm,22/01/2024
17/01/2024,"Canada's international transactions in securities, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240117/dq240117a-eng.htm,22/01/2024
17/01/2024,"Industrial product and raw materials price indexes, December 2023",https://www150.statcan.gc.ca/daily-quotidien/240117/dq240117b-eng.htm,22/01/2024
17/01/2024,"Health Reports, January 2024",https://www150.statcan.gc.ca/daily-quotidien/240117/dq240117c-eng.htm,22/01/2024
17/01/2024,"Human Resources Module of the Canadian economy, 2021",https://www150.statcan.gc.ca/daily-quotidien/240117/dq240117d-eng.htm,22/01/2024
17/01/2024,"Weekly aircraft movements, December 30, 2023 to January 5, 2024",https://www150.statcan.gc.ca/daily-quotidien/240117/dq240117e-eng.htm,22/01/2024
16/01/2024,"Consumer Price Index, December 2023",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116a-eng.htm,22/01/2024
16/01/2024,"Consumer Price Index: Annual review, 2023",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116b-eng.htm,22/01/2024
16/01/2024,"Small and medium-sized businesses in rural and small town Canada, 2021",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116c-eng.htm,22/01/2024
16/01/2024,"Survey of Non-Bank Mortgage Lenders, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116d-eng.htm,22/01/2024
16/01/2024,"Farm Input Price Index, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116e-eng.htm,22/01/2024
15/01/2024,"Monthly Survey of Manufacturing, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240115/dq240115a-eng.htm,22/01/2024
15/01/2024,"Wholesale trade, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240115/dq240115b-eng.htm,22/01/2024
15/01/2024,"Monthly Analysis on the Canadian Economic Tracker, January 2024",https://www150.statcan.gc.ca/daily-quotidien/240115/dq240115c-eng.htm,22/01/2024
15/01/2024,"New motor vehicle sales, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240115/dq240115d-eng.htm,22/01/2024
15/01/2024,"Multimodal Safety and Security Programs Oversight Delivery Indicators, first quarter 2023/2024",https://www150.statcan.gc.ca/daily-quotidien/240115/dq240115e-eng.htm,22/01/2024
12/01/2024,"National culture indicators, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240112/dq240112a-eng.htm,22/01/2024
12/01/2024,"Detailed preliminary data on confirmed cases of COVID-19, January 15, 2020, to January 4, 2024 (revised data)",https://www150.statcan.gc.ca/daily-quotidien/240112/dq240112b-eng.htm,22/01/2024
12/01/2024,"Sawmills, October 2023",https://www150.statcan.gc.ca/daily-quotidien/240112/dq240112c-eng.htm,22/01/2024
11/01/2024,"Leading indicator of international arrivals to Canada, December 2023",https://www150.statcan.gc.ca/daily-quotidien/240111/dq240111a-eng.htm,22/01/2024
11/01/2024,"Architectural services, 2022",https://www150.statcan.gc.ca/daily-quotidien/240111/dq240111b-eng.htm,22/01/2024
10/01/2024,Study: Gaps in prescription insurance coverage,https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110a-eng.htm,22/01/2024
10/01/2024,"Environmental and Clean Technology Products Economic Account, 2022",https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110b-eng.htm,22/01/2024
10/01/2024,"Energy statistics, October 2023",https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110c-eng.htm,22/01/2024
10/01/2024,"Screened passenger traffic at Canadian airports, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110d-eng.htm,22/01/2024
10/01/2024,"Farm product prices, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110e-eng.htm,22/01/2024
10/01/2024,"Poultry and egg statistics, December 2023",https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110f-eng.htm,22/01/2024
09/01/2024,"Canadian international merchandise trade, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240109/dq240109a-eng.htm,22/01/2024
09/01/2024,"Building permits, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240109/dq240109b-eng.htm,22/01/2024
09/01/2024,"Canadian international trade in services, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240109/dq240109c-eng.htm,22/01/2024
09/01/2024,"Government finance statistics, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240109/dq240109d-eng.htm,22/01/2024
09/01/2024,"Electric Power Selling Price Index, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240109/dq240109e-eng.htm,22/01/2024
08/01/2024,"Retail Commodity Survey, October 2023",https://www150.statcan.gc.ca/daily-quotidien/240108/dq240108a-eng.htm,22/01/2024
08/01/2024,"Production and disposition of tobacco products, November 2023",https://www150.statcan.gc.ca/daily-quotidien/240108/dq240108b-eng.htm,22/01/2024
05/01/2024,"Labour Force Survey, December 2023",https://www150.statcan.gc.ca/daily-quotidien/240105/dq240105a-eng.htm,22/01/2024
